year,Sales,Expenses,Operating_Profit,OPM_%,Other_Income,Interest,Depreciation,Profit_before_tax,Tax_%,Net_Profit,EPS_in_Rs,Dividend_Payout_%,Company,Profit Margin (%),Net Profit (%),EBIT ,Tax Expense,Gross Profit Margin,Gross Profit Margin (%),Profit Before Tax Margin (%)
Mar-13,46375,40354,6021,13,1775,3492,2298,2005,39,1218,14.67,10,AdaniEnterprisesLtd.,12.98328841,2.626415094,7796,781.95,,12.98328841,4.323450135
Mar-14,54947,45564,9383,17,1157,5703,3223,1614,-64,2646,20.19,7,AdaniEnterprisesLtd.,17.07645549,4.81554953,10540,-1032.96,,17.07645549,2.937376017
Mar-15,64465,52015,12450,19,792,7056,3522,2663,14,2298,17.71,8,AdaniEnterprisesLtd.,19.3128054,3.564725045,13242,372.82,,19.3128054,4.130923757
Mar-16,34008,32325,1684,5,1044,1357,314,1056,7,1000,9.19,4,AdaniEnterprisesLtd.,4.951776053,2.940484592,2728,73.92,,4.948835568,3.105151729
Mar-17,36533,34631,1902,5,749,1257,315,1079,25,925,8.98,4,AdaniEnterprisesLtd.,5.206251882,2.531957408,2651,269.75,,5.206251882,2.953494101
Mar-18,35924,33886,2038,6,363,1250,664,487,23,594,6.89,6,AdaniEnterprisesLtd.,5.673087629,1.653490703,2401,112.01,,5.673087629,1.355639684
Mar-19,40379,38409,1969,5,504,1625,390,459,32,506,6.52,6,AdaniEnterprisesLtd.,4.876297085,1.253126625,2473,146.88,,4.87877362,1.136729488
Mar-20,43403,41108,2294,5,872,1572,472,1122,29,1040,10.35,10,AdaniEnterprisesLtd.,5.285348939,2.396147732,3166,325.38,,5.287652927,2.585074764
Mar-21,39537,37031,2506,6,494,1377,537,1086,31,1046,8.39,12,AdaniEnterprisesLtd.,6.338366593,2.645623087,3000,336.66,,6.338366593,2.746794142
Mar-22,69420,65707,3714,5,1012,2526,1248,952,50,788,7.06,14,AdaniEnterprisesLtd.,5.350043215,1.135119562,4726,476,,5.348602708,1.37136272
Mar-23,127540,118722,8818,7,834,3969,2436,3247,32,2422,21.61,6,AdaniEnterprisesLtd.,6.913909362,1.899012075,9652,1039.04,,6.913909362,2.545867963
Mar-24,96421,85044,11377,12,1146,4555,3042,4926,33,3335,28.42,5,AdaniEnterprisesLtd.,11.79929683,3.458790098,12523,1625.58,,11.79929683,5.108845583
Mar-13,8279,6065,2214,27,245,34,330,2095,26,1545,19.24,10,CiplaLtd.,26.74236019,18.66167412,2459,544.7,,26.74236019,25.30498853
Mar-14,10173,8026,2147,21,251,146,373,1880,25,1404,17.29,12,CiplaLtd.,21.10488548,13.80123857,2398,470,,21.10488548,18.48029097
Mar-15,11345,9183,2163,19,164,168,505,1654,24,1229,14.71,14,CiplaLtd.,19.0656677,10.83296606,2327,396.96,,19.05685324,14.57910974
Mar-16,13790,11310,2480,18,208,207,754,1727,19,1383,16.93,12,CiplaLtd.,17.98404641,10.02900653,2688,328.13,,17.98404641,12.5235678
Mar-17,14394,11898,2496,17,208,159,1323,1222,15,1035,12.51,16,CiplaLtd.,17.34055857,7.19049604,2704,183.3,,17.34055857,8.489648465
Mar-18,15156,12329,2826,19,280,114,1323,1669,15,1417,17.52,17,CiplaLtd.,18.64608076,9.349432568,3106,250.35,,18.65267881,11.01214041
Mar-19,16362,13265,3097,19,477,168,1326,2079,27,1492,18.96,16,CiplaLtd.,18.92800391,9.118689647,3574,561.33,,18.92800391,12.70627063
Mar-20,17132,13926,3206,19,344,197,1175,2178,29,1500,19.18,21,CiplaLtd.,18.71351856,8.755545179,3550,631.62,,18.71351856,12.7130516
Mar-21,19160,14907,4252,22,266,161,1068,3290,27,2389,29.82,17,CiplaLtd.,22.19206681,12.46868476,4518,888.3,,22.19728601,17.17118998
